epoch,step,train_loss,train_mse,train_r2,validation_loss,validation_mse,validation_r2
0,239,,,,0.4263615310192108,0.4263615310192108,-0.606311559677124
0,239,2.253704309463501,2.253704786300659,-19.147642135620117,,,
1,479,,,,0.4169175624847412,0.4169175922870636,-0.8785189986228943
1,479,1.220201015472412,1.220201015472412,-7.948019504547119,,,
2,719,,,,0.38500186800956726,0.38500189781188965,-0.19503214955329895
2,719,1.1284985542297363,1.1284979581832886,-7.475162506103516,,,
3,959,,,,0.406281054019928,0.406281054019928,-0.40812763571739197
3,959,1.0464251041412354,1.0464251041412354,-6.364962100982666,,,
4,1199,,,,0.6195159554481506,0.6195158362388611,-1.1055090427398682
4,1199,0.9854665994644165,0.985466480255127,-5.873019218444824,,,
5,1439,,,,0.4910309910774231,0.49103108048439026,-1.1497538089752197
5,1439,0.9205678105354309,0.9205678701400757,-5.2771806716918945,,,
6,1679,,,,0.3242207467556,0.3242207467556,-0.05340680107474327
6,1679,0.9097549319267273,0.909755289554596,-5.160045623779297,,,
7,1919,,,,0.3539204001426697,0.3539204001426697,-0.22286176681518555
7,1919,0.8280367255210876,0.828036367893219,-4.531341075897217,,,
8,2159,,,,0.3394228219985962,0.3394228219985962,-0.18812128901481628
8,2159,0.7928932309150696,0.7928929328918457,-4.285678863525391,,,
9,2399,,,,0.37043657898902893,0.3704366385936737,-0.26728349924087524
9,2399,0.7688224911689758,0.7688224911689758,-4.0137038230896,,,
10,2639,,,,0.3727368712425232,0.3727369010448456,-0.24335746467113495
10,2639,0.7328323125839233,0.7328321933746338,-3.7488038539886475,,,
11,2879,,,,0.402366042137146,0.402366042137146,-0.5246400237083435
11,2879,0.7407726645469666,0.7407727241516113,-3.764256238937378,,,
12,3119,,,,0.322764128446579,0.322764128446579,-0.2133292704820633
12,3119,0.7157479524612427,0.7157477736473083,-3.5789871215820312,,,
13,3359,,,,0.32946720719337463,0.329467236995697,-0.24815015494823456
13,3359,0.7428582310676575,0.7428582906723022,-3.7189297676086426,,,
14,3599,,,,0.3296366035938263,0.32963666319847107,-0.1533898562192917
14,3599,0.7164809703826904,0.7164810299873352,-3.604198455810547,,,
15,3839,,,,0.3156582713127136,0.3156582713127136,-0.18257372081279755
15,3839,0.6796682476997375,0.6796686053276062,-3.334003448486328,,,
16,4079,,,,0.3384905457496643,0.3384905457496643,-0.3809911906719208
16,4079,0.6594934463500977,0.6594936847686768,-3.2607948780059814,,,
17,4319,,,,0.48763784766197205,0.48763781785964966,-1.0080393552780151
17,4319,0.6514977812767029,0.6514977216720581,-3.0914740562438965,,,
18,4559,,,,0.343900203704834,0.34390026330947876,-0.35558757185935974
18,4559,0.6326520442962646,0.632652223110199,-2.9848408699035645,,,
19,4799,,,,0.3242359757423401,0.3242360055446625,-0.187754288315773
19,4799,0.5939832329750061,0.5939832329750061,-2.6722054481506348,,,
20,5039,,,,0.3749438524246216,0.37494388222694397,-0.49180108308792114
20,5039,0.6235466599464417,0.6235465407371521,-2.8950698375701904,,,
21,5279,,,,0.4641900658607483,0.4641900658607483,-0.8809792399406433
21,5279,0.5913686752319336,0.5913684368133545,-2.6908206939697266,,,
22,5519,,,,0.3188869059085846,0.3188869059085846,-0.2283179759979248
22,5519,0.5870944261550903,0.5870943069458008,-2.5819733142852783,,,
23,5759,,,,0.4259509742259979,0.4259510636329651,-0.6609093546867371
23,5759,0.5624448657035828,0.5624450445175171,-2.4250621795654297,,,
24,5999,,,,0.4552759826183319,0.4552759528160095,-0.8857563138008118
24,5999,0.552003026008606,0.5520032644271851,-2.2890737056732178,,,
25,6239,,,,0.2995224893093109,0.2995225489139557,-0.1913137584924698
25,6239,0.549309253692627,0.5493090152740479,-2.3089418411254883,,,
26,6479,,,,0.3411075174808502,0.3411075174808502,-0.4378904402256012
26,6479,0.5322615504264832,0.5322615504264832,-2.231874465942383,,,
27,6719,,,,0.3883477747440338,0.3883477747440338,-0.5292537808418274
27,6719,0.5286884307861328,0.5286884307861328,-2.157942533493042,,,
28,6959,,,,0.34490248560905457,0.3449024558067322,-0.3176772892475128
28,6959,0.5269014239311218,0.5269011855125427,-2.128638505935669,,,
29,7199,,,,0.5169541835784912,0.5169541239738464,-1.248773455619812
29,7199,0.5197494029998779,0.5197490453720093,-2.0401039123535156,,,
30,7439,,,,0.34870752692222595,0.34870752692222595,-0.34986209869384766
30,7439,0.49750250577926636,0.49750232696533203,-1.9763901233673096,,,
31,7679,,,,0.2959751784801483,0.2959751784801483,-0.10819017142057419
31,7679,0.4990628659725189,0.499062716960907,-1.9533894062042236,,,
32,7919,,,,0.4032754600048065,0.4032755196094513,-0.7179843783378601
32,7919,0.49314311146736145,0.4931429922580719,-1.896706461906433,,,
33,8159,,,,0.4212387204170227,0.4212387204170227,-0.6952895522117615
33,8159,0.48712804913520813,0.4871279001235962,-1.8470325469970703,,,
34,8399,,,,0.44410625100135803,0.4441063106060028,-0.844007134437561
34,8399,0.4752081334590912,0.4752081036567688,-1.8357943296432495,,,
35,8639,,,,0.4233555793762207,0.4233555495738983,-0.7940102219581604
35,8639,0.4859025478363037,0.4859025180339813,-1.8596266508102417,,,
36,8879,,,,0.32026270031929016,0.32026270031929016,-0.2412995547056198
36,8879,0.4538743197917938,0.4538744390010834,-1.670619010925293,,,
37,9119,,,,0.34607449173927307,0.34607455134391785,-0.30420979857444763
37,9119,0.47275781631469727,0.4727574586868286,-1.694851279258728,,,
38,9359,,,,0.46905943751335144,0.46905940771102905,-0.9626593589782715
38,9359,0.45621755719184875,0.456217497587204,-1.6213483810424805,,,
39,9599,,,,0.4463519752025604,0.4463520646095276,-0.9268521666526794
39,9599,0.4542175233364105,0.4542176127433777,-1.5759321451187134,,,
40,9839,,,,0.5095878839492798,0.5095877647399902,-1.2632850408554077
40,9839,0.4284781515598297,0.42847806215286255,-1.5029228925704956,,,
41,10079,,,,0.4833042323589325,0.4833042323589325,-1.0337060689926147
41,10079,0.4542185366153717,0.4542185962200165,-1.6128555536270142,,,
42,10319,,,,0.38217243552207947,0.38217252492904663,-0.4914364814758301
42,10319,0.4325743615627289,0.43257442116737366,-1.4417879581451416,,,
43,10559,,,,0.3925549387931824,0.3925549387931824,-0.6617656946182251
43,10559,0.4385635256767273,0.4385637640953064,-1.5139544010162354,,,
44,10799,,,,0.4093288481235504,0.409328818321228,-0.924045741558075
44,10799,0.42666691541671753,0.4266670346260071,-1.4502134323120117,,,
45,11039,,,,0.4040335714817047,0.4040336012840271,-0.8182172775268555
45,11039,0.42684200406074524,0.4268420934677124,-1.4276756048202515,,,
46,11279,,,,0.425569087266922,0.42556899785995483,-0.880730152130127
46,11279,0.41235262155532837,0.4123527407646179,-1.352250337600708,,,
47,11519,,,,0.45334503054618835,0.4533449709415436,-1.047455906867981
47,11519,0.40869608521461487,0.40869608521461487,-1.3020256757736206,,,
48,11759,,,,0.3924937844276428,0.39249372482299805,-0.8010080456733704
48,11759,0.40786978602409363,0.4078695774078369,-1.3044556379318237,,,
49,11999,,,,0.4692835509777069,0.46928346157073975,-0.8063173294067383
49,11999,0.4154743254184723,0.4154741168022156,-1.3505456447601318,,,
50,12239,,,,0.3618135452270508,0.3618135452270508,-0.3600604236125946
50,12239,0.41101178526878357,0.41101187467575073,-1.2731258869171143,,,
51,12479,,,,0.42681044340133667,0.4268103837966919,-0.8093963861465454
51,12479,0.4004738926887512,0.40047380328178406,-1.2936701774597168,,,
52,12719,,,,0.42097046971321106,0.42097052931785583,-0.7241756319999695
52,12719,0.39599958062171936,0.395999550819397,-1.2674434185028076,,,
53,12959,,,,0.47095757722854614,0.47095754742622375,-1.2880795001983643
53,12959,0.4026365280151367,0.4026365876197815,-1.2783581018447876,,,
54,13199,,,,0.42095017433166504,0.4209502339363098,-0.8936437964439392
54,13199,0.3981151282787323,0.3981150984764099,-1.2512296438217163,,,
55,13439,,,,0.4386051297187805,0.4386051893234253,-0.9222579002380371
55,13439,0.3908071517944336,0.39080724120140076,-1.2363287210464478,,,
56,13679,,,,0.43160736560821533,0.43160730600357056,-0.9198627471923828
56,13679,0.37199926376342773,0.37199917435646057,-1.09748113155365,,,
57,13919,,,,0.4634856581687927,0.4634857177734375,-1.1188251972198486
57,13919,0.37671706080436707,0.376717209815979,-1.1277216672897339,,,
58,14159,,,,0.49767613410949707,0.49767613410949707,-1.1131925582885742
58,14159,0.37416085600852966,0.3741607367992401,-1.1124738454818726,,,
59,14399,,,,0.38743773102760315,0.38743770122528076,-0.882734477519989
59,14399,0.37068843841552734,0.37068846821784973,-1.1012083292007446,,,
60,14639,,,,0.49902108311653137,0.4990209937095642,-1.0292108058929443
60,14639,0.3739194869995117,0.3739197254180908,-1.1029390096664429,,,
